AnimalID,Age_Days,sex,fertile
A714918,60,Male,N
A690736,2,Female,Y
A693510,1825,Male,N
A695242,60,Male,N
A694785,365,Male,N
A676141,60,Female,N
A686260,365,Male,N
A672321,1095,Male,N
A677669,4,Male,Y
A684081,1825,Male,N
A449752,4015,Female,N
A555557,3285,Female,N
A706560,60,Male,N
A681633,60,Male,N
A676008,120,Female,Y
A678404,2,Male,Y
A670582,1825,Male,N
A705775,730,Male,N
A711133,180,Female,N
A694443,240,Female,N
A697126,730,Male,N
A702137,60,Male,N
A701113,30,Male,Y
A683234,120,Male,Y
A672068,730,Female,N
A670208,90,Female,N
A700788,730,Female,N
A710292,120,Female,Y
A672745,730,Female,N
A668125,730,Female,N
A680996,60,Female,N
A687803,60,Male,N
A671507,365,Male,N
A710933,730,Male,N
A717594,1460,Male,N
A708619,365,Female,N
A689262,365,Male,N
A683423,60,Female,N
A693557,270,Female,Y
A669929,1825,Female,N
A679078,365,Female,Y
A709242,2,Unknown,Unknown
A696927,730,Unknown,Unknown
A668202,300,Male,N
A690459,60,Male,N
A671108,1095,Female,N
A681764,1,Unknown,Unknown
A689333,300,Male,Y
A691972,60,Male,N
A715357,365,Female,Y
A710764,1460,Male,N
A687761,365,Female,Y
A708156,1095,Female,N
A668086,1095,Female,N
A698116,6,Unknown,Unknown
A675067,3285,Male,N
A713280,180,Female,N
A676964,1825,Female,N
A710581,3,Male,Y
A709076,3,Female,Y
A676261,1095,Male,N
A664917,1460,Male,N
A695343,60,Male,N
A704512,365,Male,N
A700452,3,Unknown,Unknown
A715615,90,Male,N
A702452,270,Female,Y
A695234,365,Male,N
A675989,365,Male,N
A697143,1825,Male,N
A708954,1460,Male,N
A669007,180,Male,Y
A669985,365,Female,N
A689155,4745,Female,N
A695157,730,Female,N
A686168,730,Male,N
A706769,365,Male,N
A682726,365,Male,Y
A693677,300,Male,N
A716373,60,Female,N
A702799,90,Male,N
A707362,90,Male,N
A682425,60,Male,N
A683890,1095,Female,N
A683156,730,Male,Y
A670603,120,Male,N
A667302,1460,Male,N
A669065,1460,Female,N
A705856,1460,Female,N
A686307,60,Female,N
A703431,365,Male,Y
A682474,1,Unknown,Unknown
A666852,365,Female,N
A571230,3285,Female,N
A698073,60,Female,N
A694728,1825,Male,N
A716111,365,Female,N
A690254,730,Male,N
A661544,730,Female,N
A688618,730,Female,N
A719576,90,Female,N
A669375,1095,Male,N
A713076,120,Female,N
A707406,730,Male,N
A530134,2190,Male,N
A693004,150,Female,N
A679671,3,Male,Y
A675193,1460,Male,N
A706115,2920,Female,N
A681961,120,Female,N
A670770,730,Male,N
A678353,60,Female,Y
A672243,365,Male,Y
A671100,365,Female,Y
A696625,2555,Female,N
A679093,1825,Male,N
A702491,1095,Female,N
A717943,270,Female,N
A674685,365,Female,N
A683855,365,Male,N
A701083,365,Female,Y
A680323,730,Female,Y
A675641,730,Male,N
A719331,365,Female,N
A680958,730,Male,N
A677606,5110,Female,N
A684157,365,Female,N
A695304,365,Male,Y
A696683,1095,Female,Y
A631379,730,Female,N
A706340,60,Female,N
A675119,30,Male,Y
A719444,365,Female,Y
A712062,365,Female,Y
A662463,730,Male,N
A671382,210,Male,N
A695897,30,Male,Y
A684697,60,Male,Y
A609638,2555,Female,N
A664979,4015,Male,N
A689488,2555,Male,N
A718726,2190,Male,N
A606516,2190,Male,N
A716929,60,Female,N
A694431,1095,Female,N
A683412,60,Male,Y
A670948,365,Male,Y
A687386,730,Male,Y
A687866,730,Male,N
A687199,365,Unknown,Unknown
A681933,60,Male,N
A676589,730,Male,N
A680500,240,Male,Y
A705203,730,Female,Y
A679487,365,Unknown,Unknown
A701008,365,Female,N
A703303,1460,Female,N
A682983,4015,Female,N
A668535,365,Male,N
A715743,1825,Male,N
A703665,365,Female,N
A717298,120,Female,N
A708514,210,Female,N
A712393,730,Female,N
A720636,-99,Unknown,Unknown
A700174,2555,Female,N
A644391,2190,Male,N
A611152,1460,Male,N
A706547,30,Male,N
A583757,2920,Male,N
A684632,2190,Male,Y
A570974,2555,Male,N
A690625,210,Male,Y
A712014,2,Male,Y
A655710,730,Male,N
A717464,365,Female,N
A687909,30,Male,Y
A675759,1825,Male,N
A702993,1095,Female,N
A611496,3285,Female,N
A697195,365,Male,Y
A684553,365,Male,N
A681708,30,Male,Y
A683844,180,Male,Y
A670361,150,Female,N
A670480,365,Female,N
A688415,2,Female,Y
A714014,365,Female,N
A681204,60,Female,N
A706763,240,Female,Y
A681270,1095,Female,N
A686996,3,Male,Y
A666014,4,Unknown,Unknown
A601488,1095,Male,Y
A673524,3,Male,Y
A666316,365,Female,N
A663910,365,Male,N
A688132,60,Female,N
A688660,150,Female,N
A691216,2920,Female,N
A642415,5475,Female,N
A717699,4015,Female,Y
A673467,365,Male,N
A685457,120,Female,N
A546346,2190,Female,N
A689484,90,Male,Y
A682126,1,Unknown,Unknown
A670829,1095,Male,N
A692959,60,Female,Y
A716829,60,Male,N
A691552,1460,Male,N
A687071,60,Female,N
A617845,730,Male,N
A703351,730,Female,N
A697660,2555,Male,N
A664932,1095,Female,Y
A699396,270,Female,N
A698024,730,Male,Y
A700290,730,Male,Y
A688089,30,Female,Y
A692875,30,Male,N
A610067,3285,Male,N
A664515,90,Female,Y
A716515,60,Male,N
A704682,730,Male,Y
A666809,365,Male,N
A664611,240,Female,N
A683247,4,Male,Y
A709952,365,Male,N
A717148,730,Male,N
A691405,1095,Female,N
A697835,365,Female,Y
A683856,2555,Male,N
A677572,60,Male,N
A693285,90,Female,N
A683200,90,Male,N
A716036,365,Male,N
A681543,4,Female,Y
A668275,60,Male,N
A691995,730,Female,N
A699243,120,Unknown,Unknown
A711860,60,Male,N
A667159,365,Female,N
A716255,730,Male,N
A673365,1095,Female,N
A696844,730,Female,Y
A666018,730,Male,N
A684196,1095,Male,N
A666496,365,Male,N
A671559,365,Male,N
A683445,30,Male,Y
A705880,60,Male,N
A694717,730,Female,N
A711161,60,Female,N
A702171,365,Female,Y
A681698,30,Male,Y
A706521,1,Unknown,Unknown
A709443,365,Male,N
A704959,60,Female,N
A700139,4,Male,Y
A668365,730,Male,N
A667523,730,Female,N
A704339,30,Unknown,Unknown
A687004,1095,Female,N
A693844,60,Male,Y
A714262,730,Male,Y
A671870,240,Female,N
A709018,330,Male,N
A664051,365,Female,N
A693821,5110,Male,N
A702914,60,Female,N
A704079,4,Unknown,Unknown
A572590,2555,Female,N
A667269,730,Female,N
A668289,365,Female,N
A679513,30,Male,Y
A667054,5475,Female,N
A715319,90,Male,N
A693857,3650,Female,Y
A665210,365,Female,N
A676793,730,Female,N
A668318,1095,Male,N
A700403,730,Female,Y
A691127,1460,Male,N
A642859,3285,Female,N
A702450,365,Female,N
A716099,150,Female,N
A667532,730,Male,Y
A693922,5475,Female,N
A711563,1095,Male,N
A694905,730,Female,N
A718974,730,Male,N
A705982,365,Male,Y
A616456,1095,Female,N
A708756,180,Female,N
A709193,150,Unknown,Unknown
A642867,730,Female,N
A709280,120,Female,N
A712751,30,Male,Y
A670357,60,Female,N
A711114,60,Female,N
A689102,1095,Male,N
A685366,730,Male,N
A690567,3,Female,Y
A663158,1460,Male,N
A695302,2190,Female,N
A697722,730,Female,N
A681707,30,Male,Y
A675910,2190,Male,N
A682230,180,Female,N
A430368,2555,Male,N
A671997,300,Male,N
A590957,1460,Male,N
A695771,300,Male,N
A674191,365,Female,N
A714075,1095,Female,N
A691383,1095,Female,N
A683624,1095,Female,N
A719128,730,Female,N
A667474,730,Female,N
A669292,120,Female,Y
A710381,1,Unknown,Unknown
A714784,4,Male,Y
A697967,120,Female,N
A680480,60,Male,N
A691294,180,Female,N
A712807,300,Male,N
A671562,730,Female,N
A673727,30,Female,Y
A665869,300,Male,N
A679673,3,Female,Y
A678289,30,Male,N
A687434,60,Female,N
A690710,1825,Female,N
A712328,3650,Female,Y
A714886,180,Male,N
A714977,30,Male,Y
A704358,730,Unknown,Unknown
A711817,90,Female,Y
A549167,2190,Female,N
A661676,2555,Female,N
A712744,120,Male,N
A702160,30,Male,Y
A711841,150,Male,N
A694513,60,Male,N
A707113,90,Female,N
A714721,3,Unknown,Unknown
A680385,730,Male,N
A709299,30,Male,Y
A685975,1460,Female,N
A709656,180,Male,N
A683306,60,Male,N
A701397,60,Male,N
A668392,60,Female,Y
A629363,2920,Male,N
A711713,30,Male,Y
A691453,2190,Male,N
A686625,3,Male,Y
A673059,30,Male,N
A707897,90,Female,N
A682950,2190,Female,N
A673635,270,Male,N
A684069,2,Female,Y
A703762,365,Male,N
A684451,365,Male,Y
A718133,5840,Unknown,Unknown
A651000,4745,Male,N
A681459,1095,Male,N
A695475,1095,Male,N
A666622,60,Female,N
A698874,300,Female,N
A708141,730,Female,N
A708070,2,Female,Y
A700566,90,Female,N
A684874,365,Female,N
A711594,60,Male,Y
A690483,60,Male,Y
A698789,60,Male,N
A667452,1095,Male,N
A665342,210,Male,N
A690269,330,Female,N
A666473,1095,Female,N
A689794,730,Male,N
A681505,60,Male,N
A667195,2555,Female,N
A691207,730,Female,N
A691280,60,Male,N
A693188,365,Male,Y
A656387,730,Male,N
A671596,120,Female,N
A681190,1460,Female,N
A690431,90,Female,N
A666895,60,Female,N
A695919,730,Male,N
A711741,1460,Male,N
A717558,60,Female,N
A674650,2,Female,Y
A670897,730,Male,N
A674007,120,Female,Y
A715134,90,Male,Y
A718683,90,Male,Y
A702819,1,Unknown,Unknown
A707651,1095,Female,N
A667970,150,Male,N
A711905,210,Female,N
A704993,4,Female,Y
A699469,60,Female,N
A690387,365,Male,Y
A665225,60,Female,N
A671027,1095,Female,N
A694956,365,Male,N
A691749,60,Female,N
A714816,4,Male,Y
A704297,30,Male,Y
A685575,150,Male,N
A706200,120,Male,N
A707817,120,Female,Y
A709694,365,Female,Y
A701319,1095,Female,N
A714196,2555,Male,N
A700388,1095,Male,Y
A701530,730,Female,N
A699342,1095,Female,N
A668607,730,Male,N
A694647,300,Male,N
A708049,60,Male,N
A709372,3650,Female,N
A694872,2920,Female,Y
A673972,3650,Male,N
A669482,1825,Male,N
A708388,150,Male,Y
A678315,4380,Female,Y
A715323,730,Female,N
A666423,730,Female,Y
A669054,365,Female,N
A669181,60,Male,N
A684079,60,Female,N
A627376,2190,Male,N
A668503,730,Unknown,Unknown
A667008,60,Female,Y
A720854,2555,Male,N
A681246,60,Male,Y
A667329,120,Male,N
A654782,330,Female,N
A699834,730,Female,N
A705611,90,Female,Y
A678314,1095,Male,N
A713406,4,Male,Y
A700364,60,Male,N
A664742,1460,Female,N
A701395,60,Female,N
A672192,90,Male,N
A677338,30,Female,Y
A669135,30,Female,Y
A688881,300,Male,N
A693670,180,Male,Y
A692883,270,Female,N
A689496,3650,Male,Y
A692132,120,Male,N
A678590,60,Male,N
A701742,4380,Male,Y
A714320,730,Female,N
A704121,730,Female,N
A658625,3285,Male,N
A536757,2920,Female,N
A684436,365,Female,N
A703541,60,Male,Y
A676549,240,Female,Y
A690041,60,Female,N
A656767,730,Female,N
A685624,1095,Female,Y
A710335,30,Male,Y
A616126,730,Male,N
A627576,730,Male,N
A705306,300,Female,Y
A618687,4380,Male,N
A667591,365,Female,N
A720186,4380,Female,Y
A712904,1,Male,Y
A680852,90,Male,N
A697877,3650,Female,Y
A682017,365,Male,N
A688761,1,Female,Y
A684161,90,Female,N
A701368,1095,Female,Y
A715202,1095,Female,Y
A691471,730,Male,Y
A712862,2555,Male,N
A684570,90,Male,N
A705260,730,Female,N
A652198,730,Female,N
A664169,730,Male,N
A671199,60,Male,N
A664071,90,Male,N
A659352,365,Female,N
A715857,730,Male,Y
A715736,300,Unknown,Unknown
A709539,1460,Female,N
A652104,1095,Male,N
A671067,90,Female,N
A702693,2,Unknown,Unknown
A693687,365,Male,N
A564774,2190,Female,N
A685699,2920,Female,N
A675619,730,Male,N
A696544,730,Female,N
A719753,365,Female,N
A672529,90,Female,N
A671673,730,Male,Y
A668596,4,Female,Y
A694104,2555,Male,N
A703208,30,Male,Y
A690225,3650,Male,N
A685599,365,Male,N
A663764,730,Female,N
A719677,1095,Male,Y
A715244,4745,Male,N
A688142,365,Male,N
A674899,365,Male,Y
A691990,365,Female,N
A709092,240,Male,N
A709872,240,Female,N
A681905,60,Female,Y
A670487,2190,Female,N
A685685,1460,Male,N
A706411,150,Female,N
A564102,1825,Female,N
A711429,730,Male,N
A694307,2,Female,Y
A664158,30,Male,Y
A695173,5110,Female,N
A690090,365,Male,Y
A690905,90,Female,N
A690030,60,Male,N
A714134,365,Female,N
A717828,30,Male,N
A704748,1460,Female,Y
A688684,150,Male,Y
A690765,1825,Male,Y
A674902,150,Female,Y
A673709,365,Unknown,Unknown
A693204,1095,Male,N
A714571,730,Unknown,Unknown
A702741,730,Female,Y
A651737,3285,Female,N
A657945,730,Female,N
A708146,60,Female,N
A688454,30,Male,N
A667943,240,Female,N
A702437,60,Female,N
A691567,60,Male,N
A704964,4,Unknown,Unknown
A697928,60,Male,N
A720298,90,Male,N
A665755,730,Female,N
A685880,365,Female,N
A698475,1825,Female,N
A714803,730,Female,N
A606532,1460,Male,N
A704977,60,Female,Y
A673624,730,Female,N
A702127,60,Male,N
A686549,4,Male,Y
A709977,365,Female,N
A700113,210,Female,Y
A675096,730,Female,N
A716796,365,Female,N
A711409,300,Female,Y
A682839,1095,Female,N
A679727,365,Male,N
A683536,3,Female,Y
A694884,365,Female,N
A716274,365,Female,N
A681805,300,Male,N
A701608,365,Unknown,Unknown
A679234,730,Male,Y
A693600,60,Female,N
A707978,90,Female,N
A707669,60,Male,Y
A720690,150,Male,N
A650619,2920,Male,N
A709474,30,Female,Y
A702599,90,Male,N
A709131,730,Male,N
A686138,300,Male,N
A707639,365,Male,N
A682819,730,Male,N
A671569,1460,Female,N
A704379,300,Male,N
A688741,30,Female,Y
A681261,90,Female,Y
A707629,60,Male,N
A687096,90,Female,N
A677233,730,Male,N
A710603,365,Female,N
A686254,120,Male,N
A685511,60,Male,Y
A666319,2920,Female,N
A694719,5840,Male,N
A680780,730,Female,N
A702484,2920,Female,N
A694521,1095,Female,N
A669725,730,Male,N
A686535,240,Male,Y
A685610,365,Female,N
A691734,1825,Female,N
A714278,90,Female,N
A695622,365,Unknown,Unknown
A685068,30,Female,Y
A643733,2555,Male,N
A700051,3,Unknown,Unknown
A692542,730,Male,N
A620318,730,Male,N
A617558,1095,Male,N
A672614,300,Female,N
A691849,2555,Female,N
A680069,30,Female,Y
A427808,4745,Female,N
A690927,30,Female,Y
A661260,1825,Male,N
A692355,240,Female,Y
A665794,2555,Female,N
A693288,60,Female,N
A682298,365,Female,Y
A719440,1095,Male,N
A719661,180,Female,Y
A664350,1095,Male,N
A689916,60,Male,N
A701296,2,Female,Y
A720804,1460,Female,N
A645075,2190,Male,Y
A666429,2555,Female,N
A677234,1095,Male,N
A714527,2920,Female,N
A669785,730,Male,Y
A719418,180,Female,N
A681795,90,Female,Y
A704365,90,Female,N
A707683,60,Male,N
A694781,60,Female,N
A692395,730,Male,N
A671186,365,Male,N
A650144,1460,Male,N
A705782,2,Female,Y
A696559,90,Female,N
A672175,365,Female,N
A676922,150,Male,N
A694660,1825,Male,N
A707708,730,Female,N
A667873,365,Male,N
A705112,1095,Female,Y
A710141,1460,Female,N
A680414,60,Male,N
A665151,4,Female,Y
A685171,365,Male,Y
A712770,1825,Male,N
A494170,2920,Male,N
A706211,150,Male,N
A695188,365,Male,N
A699197,3650,Female,N
A709648,300,Female,Y
A615846,1460,Female,N
A710195,90,Male,Y
A706529,1460,Male,N
A688028,730,Male,N
A699943,365,Female,N
A718423,150,Female,Y
A681413,730,Female,N
A719998,1095,Male,N
A696278,730,Male,Y
A666976,90,Male,N
A709233,365,Unknown,Unknown
A675226,365,Male,N
A678301,3,Female,Y
A649442,2190,Female,N
A719138,1095,Male,N
A681460,3650,Female,N
A710727,60,Female,N
A662822,60,Female,N
A657188,5110,Male,N
A705683,60,Female,N
A719465,150,Female,N
A664770,90,Female,N
A700589,1,Unknown,Unknown
A706463,1,Unknown,Unknown
A717055,1095,Male,N
A711835,30,Male,Y
A718844,2190,Female,N
A691114,180,Male,N
A679212,2,Female,Y
A672181,120,Male,N
A709904,2190,Male,Y
A679862,730,Male,N
A671667,2920,Female,N
A711245,150,Male,Y
A693241,210,Female,N
A694594,270,Female,N
A716526,60,Female,N
A703487,1095,Male,N
A690443,730,Female,N
A683406,90,Male,N
A674418,365,Male,N
A671380,3650,Male,N
A714824,1095,Male,N
A708193,365,Male,N
A690060,270,Male,N
A671516,1825,Male,N
A697407,30,Female,N
A569032,1825,Male,N
A679766,365,Female,Y
A697617,300,Male,N
A684529,210,Female,N
A709466,730,Female,N
A718739,730,Male,N
A695247,1095,Male,N
A720176,1460,Male,Y
A671787,365,Female,N
A688404,4,Female,Y
A621341,2555,Male,N
A700143,730,Female,N
A676809,1095,Female,Y
A705993,2,Unknown,Unknown
A668540,365,Female,N
A287217,4380,Female,N
A679999,365,Male,Y
A682877,30,Female,Y
A715289,2190,Female,N
A666762,180,Male,N
A712187,60,Male,N
A666672,240,Female,N
A679670,1095,Male,N
A720857,730,Female,N
A704118,30,Male,Y
A711196,1825,Female,N
A707123,1825,Female,N
A710999,150,Unknown,Unknown
A687261,180,Male,N
A688652,60,Female,N
A720101,365,Male,N
A681059,90,Female,N
A668017,240,Female,N
A689280,180,Male,N
A702025,60,Male,N
A703730,60,Male,N
A711056,2190,Male,N
A701442,365,Male,N
A667969,150,Female,Y
A698581,1460,Male,N
A719804,300,Female,N
A694134,365,Male,N
A703555,730,Male,N
A678728,365,Female,N
A665303,2190,Male,N
A712359,1,Male,Y
A677840,1460,Male,N
A669183,60,Female,N
A667333,300,Female,N
A701150,60,Male,N
A700820,730,Male,N
A688884,210,Male,N
A688783,180,Male,Y
A720547,365,Male,N
A672105,1825,Male,N
A669983,2190,Female,N
A704809,3,Unknown,Unknown
A705442,2,Unknown,Unknown
A692421,365,Male,Y
A694891,60,Female,N
A701723,0,Unknown,Unknown
A708058,365,Female,Y
A711624,730,Male,N
A682481,1,Unknown,Unknown
A693511,1825,Female,N
A680490,90,Female,N
A719903,730,Female,Y
A701691,730,Male,Y
A715145,1825,Male,N
A718694,365,Male,N
A713461,1825,Female,N
A669467,1825,Male,N
A707388,300,Male,N
A699020,2,Female,Y
A711787,150,Male,N
A676094,3650,Male,N
A664222,210,Female,N
A695288,730,Female,N
A705168,180,Male,N
A668400,730,Male,N
A685486,365,Male,Y
A687822,730,Male,N
A698329,1095,Female,N
A708893,120,Female,N
A610815,5475,Female,N
A704059,1460,Male,N
A683464,3,Male,Y
A635766,365,Male,N
A670002,1095,Female,N
A706336,730,Male,Y
A666972,60,Female,N
A717644,2920,Male,N
A575803,2555,Male,N
A678311,300,Male,N
A662399,60,Female,N
A713935,30,Female,Y
A685487,1095,Male,N
A664023,60,Female,N
A685495,60,Male,N
A699324,150,Female,N
A667469,1095,Male,N
A676356,1095,Female,N
A670865,730,Male,Y
A681923,5110,Male,N
A663408,365,Female,N
A689337,60,Female,N
A664231,730,Female,N
A699890,730,Female,N
A672228,30,Female,N
A690994,60,Female,N
A703250,120,Male,Y
A720688,365,Male,N
A706312,730,Male,N
A669217,365,Male,N
A718890,150,Male,N
A694201,1460,Male,N
A693452,365,Male,N
A665662,120,Male,N
A651982,2555,Female,N
A700627,730,Female,N
A613280,1095,Female,N
A680419,60,Female,Y
A689984,90,Male,Y
A716566,150,Female,Y
A708085,730,Male,Y
A682073,1095,Female,Y
A514631,2190,Male,N
A701702,1825,Female,N
A647580,730,Male,N
A673682,1095,Female,N
A668863,365,Female,N
A668423,1095,Male,Y
A719139,300,Female,Y
A707069,150,Female,N
A701363,365,Male,N
A530461,2555,Female,N
A663918,2920,Female,N
A685351,2190,Male,Y
A717593,1460,Female,N
A691126,3650,Male,N
A665204,1460,Male,N
A676515,90,Male,N
A671482,30,Female,Y
A667002,90,Female,Y
A691012,1460,Male,Y
A711456,2190,Male,N
A692376,30,Female,Y
A692243,60,Female,N
A669883,1095,Male,N
A710352,730,Female,Y
A688976,3,Male,Y
A695438,1095,Female,N
A706503,180,Female,N
A683317,60,Male,N
A670900,365,Female,N
A672918,365,Female,N
A669942,120,Male,N
A698677,730,Female,N
A687053,730,Female,N
A695692,1095,Female,N
A698642,730,Male,N
A573141,4745,Male,N
A321341,3650,Female,N
A698527,730,Female,N
A677287,4,Male,Y
A689878,730,Male,Y
A695364,1825,Male,N
A682577,30,Female,Y
A690241,3,Male,Y
A697776,730,Male,N
A678082,730,Female,N
A596406,1460,Female,N
A683768,90,Female,N
A665975,1825,Female,N
A678830,3,Unknown,Unknown
A698188,6,Male,Y
A717947,120,Male,N
A670320,365,Male,N
A707364,30,Male,Y
A716250,365,Female,N
A709846,730,Male,N
A701186,730,Male,N
A703273,90,Male,N
A664489,60,Female,N
A683809,730,Male,Y
A696632,365,Male,Y
A712512,3650,Female,Y
A698827,150,Male,N
A718550,4015,Female,N
A703478,730,Male,N
A710317,2190,Female,N
A672214,365,Female,N
A691544,4,Male,Y
A715732,90,Male,N
A701606,365,Male,N
A634845,1095,Male,N
A705361,365,Male,Y
A716381,730,Female,Y
A665938,365,Female,N
A679478,60,Female,N
A671917,60,Male,N
A712991,365,Female,N
A665909,365,Male,N
A688863,365,Male,N
A701504,60,Female,N
A664629,1,Male,Y
A704670,1095,Female,N
A691357,365,Male,N
A664181,90,Female,N
A669709,730,Female,Y
A689294,365,Male,N
A659967,1095,Female,N
A691382,3650,Male,N
A718151,30,Female,N
A690419,1460,Male,N
A710158,90,Male,N
A712651,1460,Female,N
A694309,2,Female,Y
A678569,30,Female,Y
A689398,730,Male,N
A672472,150,Male,N
A718986,1460,Female,N
A703506,365,Female,N
A688543,30,Male,Y
A719507,300,Female,N
A706221,30,Male,Y
A662378,120,Female,N
A673314,2555,Female,N
A663954,365,Male,N
A713338,365,Male,Y
A698943,365,Male,N
A697744,365,Male,N
A659891,730,Male,N
A676781,365,Female,N
A710435,4380,Male,N
A680348,30,Female,Y
A684035,3,Male,Y
A666712,30,Male,Y
A699598,150,Unknown,Unknown
A666931,730,Male,N
A690676,730,Female,N
A666058,60,Male,N
A702079,2555,Male,Y
A670784,365,Male,N
A672019,365,Female,N
A675695,730,Male,N
A632870,2190,Male,N
A702622,1095,Male,N
A676757,3,Male,Y
A676539,120,Male,Y
A689529,90,Male,Y
A692687,330,Female,N
A683662,120,Female,Y
A710942,300,Male,Y
A715770,3285,Female,N
A698119,6,Unknown,Unknown
A697579,365,Male,N
A705939,90,Female,N
A605170,1095,Male,N
A717777,180,Male,Y
A717127,270,Male,N
A707175,365,Male,N
A706134,30,Female,Y
A696993,2190,Female,N
A563492,1825,Male,N
A717069,730,Male,N
A705353,3,Unknown,Unknown
A713988,2555,Female,N
A703925,2,Unknown,Unknown
A686785,730,Male,Y
A688196,3285,Male,N
A673903,30,Male,Y
A691191,730,Male,N
A707324,60,Female,N
A670895,365,Male,N
A666479,60,Female,N
A689792,365,Female,N
A595363,1825,Female,N
A680111,1460,Male,N
A671399,1095,Male,N
A719550,270,Female,N
A577832,1460,Male,N
A657415,730,Female,N
A690961,60,Female,N
A668772,180,Male,N
A693099,150,Male,N
A707744,60,Female,Y
A704075,365,Female,N
A701605,150,Female,N
A705383,150,Female,N
A700383,730,Male,N
A582082,1825,Male,N
A683892,210,Female,N
A642922,1095,Male,N
A720680,3650,Female,N
A686565,3,Female,Y
A694639,365,Male,Y
A661878,2190,Male,N
A713050,1,Unknown,Unknown
A678092,30,Female,N
A674943,1,Female,Y
A674771,1825,Female,Y
A681773,90,Male,N
A710168,120,Female,N
A689998,30,Female,N
A681472,30,Female,Y
A666845,365,Male,N
A680679,2190,Female,N
A530589,4745,Female,N
A649685,1095,Male,N
A695404,60,Female,N
A717665,2920,Male,N
A718607,730,Male,Y
A682686,90,Female,N
A687441,1095,Male,N
A720563,365,Male,N
A701479,1,Female,Y
A686149,1825,Male,N
A673087,730,Female,N
A703333,3,Unknown,Unknown
A699232,730,Female,N
A704676,60,Female,N
A663299,1460,Male,N
A704354,90,Female,Y
A656893,730,Female,N
A681592,1095,Female,N
A689527,150,Male,Y
A705641,1,Unknown,Unknown
A679107,365,Male,N
A717606,90,Female,N
A686866,210,Male,N
A699801,60,Male,N
A667242,730,Female,N
A688133,730,Female,N
A702838,120,Female,N
A700308,180,Female,N
A685583,3,Male,Y
A708086,730,Unknown,Unknown
A713156,90,Male,N
A707697,365,Unknown,Unknown
A704970,4,Unknown,Unknown
A692788,1,Male,Y
A707958,365,Male,N
A694006,365,Female,N
A700278,30,Male,N
A669581,730,Female,N
A693363,60,Female,N
A616584,365,Male,N
A689251,730,Male,N
A708723,60,Female,N
A693639,2555,Female,N
A666329,60,Male,N
A663320,60,Male,N
A696046,1095,Male,N
A670264,730,Female,N
A689746,240,Female,N
A685421,2920,Female,N
A683803,180,Male,N
A666065,60,Female,N
A685250,2,Female,Y
A673911,365,Male,N
A705326,730,Female,N
A710031,60,Female,N
A701809,2,Unknown,Unknown
A678251,1460,Male,N
A639465,5110,Male,Y
A688759,1,Male,Y
A695786,120,Male,N
A685149,240,Male,N
A702141,365,Male,N
A675578,30,Male,Y
A709985,60,Female,N
A519888,2190,Male,N
A702249,1095,Female,N
A688658,30,Male,Y
A633870,1095,Female,N
A700221,2555,Female,N
A694995,90,Unknown,Unknown
A689734,365,Female,Y
A695671,1825,Male,N
A684937,365,Male,N
A549639,1825,Female,N
A689945,730,Female,N
A689869,730,Male,N
A678073,3,Male,Y
A681567,730,Female,N
A694000,1460,Male,N
A693790,30,Female,N
A685704,2920,Female,N
A693387,3650,Male,N
A691279,60,Female,Y
A665568,60,Male,N
A679853,60,Male,N
A700332,365,Unknown,Unknown
A672451,1825,Male,N
A691952,60,Female,Y
A575839,1460,Female,N
A669598,180,Male,Y
A687142,1825,Female,N
A699283,1460,Male,N
A684076,2555,Male,N
A686850,150,Male,N
A691328,90,Male,Y
A712687,90,Male,N
A485940,4015,Female,N
A617090,2555,Male,N
A683851,365,Female,N
A718504,240,Female,Y
A628319,3285,Female,N
A699771,30,Male,Y
A706183,60,Male,N
A682977,730,Female,N
A695669,730,Male,N
A703412,1095,Female,N
A702536,60,Female,N
A709822,90,Male,Y
A655860,3650,Male,N
A678920,2190,Male,Y
A683822,6,Male,Y
A667898,365,Female,N
A717489,730,Male,N
A660628,150,Male,N
A619861,1095,Female,N
A673056,1095,Male,N
A680676,2555,Male,N
A661150,730,Male,N
A665570,730,Female,N
A703094,2920,Male,Y
A680331,300,Male,N
A713259,1460,Female,Y
A679117,60,Male,N
A698362,365,Unknown,Unknown
A690024,60,Female,Y
A667390,60,Male,N
A694880,1095,Female,N
A695847,730,Male,Y
A666322,1460,Female,N
A719019,30,Male,N
A536035,2555,Female,N
A691607,365,Female,N
A714015,730,Male,N
A701323,365,Female,N
A711130,730,Female,N
A718281,300,Male,N
A676265,1095,Female,N
A718036,365,Female,Y
A714063,60,Female,N
A692548,365,Female,N
A689410,1825,Female,N
A671127,60,Male,N
A681524,365,Male,N
A705530,2,Unknown,Unknown
A541397,4380,Female,N
A667105,2190,Male,N
A713793,60,Male,N
A696611,240,Female,N
A714744,730,Female,N
A710861,365,Female,N
A700579,1,Unknown,Unknown
A678864,1095,Male,N
A706482,3,Unknown,Unknown
A700228,730,Female,Y
A698545,730,Female,N
A720500,1825,Female,N
A670191,1825,Male,N
A681267,2920,Female,N
A712754,90,Male,N
A680059,60,Male,N
A698589,1095,Male,N
A679443,2,Male,Y
A692362,3,Female,Y
A694004,365,Male,N
A686136,180,Female,N
A710468,1,Male,Y
A697180,2555,Male,N
A701286,2,Female,Y
A664127,30,Female,Y
A691285,60,Male,N
A717522,730,Female,N
A701143,1825,Male,Y
A691533,365,Female,Y
